2020-03-27 00:00:06.674 | main | INFO  | o.s.b.StartupInfoLogger:StartupInfoLogger.java(55) | Starting PingfenApplication on yu-PC with PID 6984 (C:\Users\Administrator\Desktop\pingfen\target\classes started by Administrator in C:\Users\Administrator\Desktop\pingfen)
2020-03-27 00:00:06.678 | main | INFO  | o.s.b.SpringApplication:SpringApplication.java(651) | No active profile set, falling back to default profiles: default
2020-03-27 00:00:08.050 | main | INFO  | o.s.b.w.e.t.TomcatWebServer:TomcatWebServer.java(92) | Tomcat initialized with port(s): 8080 (http)
2020-03-27 00:00:08.061 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Initializing ProtocolHandler ["http-nio-8080"]
2020-03-27 00:00:08.062 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Starting service [Tomcat]
2020-03-27 00:00:08.063 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-03-27 00:00:08.199 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Initializing Spring embedded WebApplicationContext
2020-03-27 00:00:08.200 | main | INFO  | o.s.b.w.s.c.ServletWebServerApplicationContext:ServletWebServerApplicationContext.java(284) | Root WebApplicationContext: initialization completed in 1467 ms
2020-03-27 00:00:08.497 | main | WARN  | o.s.s.a.i.AbstractSecurityInterceptor:AbstractSecurityInterceptor.java(159) | Could not validate configuration attributes as the SecurityMetadataSource did not return any attributes from getAllConfigAttributes()
2020-03-27 00:00:08.506 | main | WARN  | o.s.s.a.i.AbstractSecurityInterceptor:AbstractSecurityInterceptor.java(159) | Could not validate configuration attributes as the SecurityMetadataSource did not return any attributes from getAllConfigAttributes()
2020-03-27 00:00:08.755 | main | INFO  | o.s.s.w.DefaultSecurityFilterChain:DefaultSecurityFilterChain.java(43) | Creating filter chain: Ant [pattern='/css/**'], []
2020-03-27 00:00:08.789 | main | INFO  | o.s.s.w.DefaultSecurityFilterChain:DefaultSecurityFilterChain.java(43) | Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@96a75da, org.springframework.security.web.context.SecurityContextPersistenceFilter@11d4dbd6, org.springframework.security.web.header.HeaderWriterFilter@3effd4f3, org.springframework.security.web.authentication.logout.LogoutFilter@771cbb1a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@21c7208d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@39e43310, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@53a5e217, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@61e7bf2f, org.springframework.security.web.session.SessionManagementFilter@15f8701f, org.springframework.security.web.access.ExceptionTranslationFilter@4bbb49b0, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6ae3fb94]
2020-03-27 00:00:08.922 | main | INFO  | o.s.s.c.ExecutorConfigurationSupport:ExecutorConfigurationSupport.java(171) | Initializing ExecutorService 'applicationTaskExecutor'
2020-03-27 00:00:09.144 | main | INFO  | o.s.b.a.w.s.WelcomePageHandlerMapping:WelcomePageHandlerMapping.java(58) | Adding welcome page template: index
2020-03-27 00:00:09.307 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Starting ProtocolHandler ["http-nio-8080"]
2020-03-27 00:00:09.332 | main | INFO  | o.s.b.w.e.t.TomcatWebServer:TomcatWebServer.java(204) | Tomcat started on port(s): 8080 (http) with context path ''
2020-03-27 00:00:09.335 | main | INFO  | o.s.b.StartupInfoLogger:StartupInfoLogger.java(61) | Started PingfenApplication in 3.192 seconds (JVM running for 3.897)
2020-03-27 00:00:23.741 | http-nio-8080-exec-1 | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-03-27 00:00:23.741 | http-nio-8080-exec-1 | INFO  | o.s.w.s.FrameworkServlet:FrameworkServlet.java(525) | Initializing Servlet 'dispatcherServlet'
2020-03-27 00:00:23.748 | http-nio-8080-exec-1 | INFO  | o.s.w.s.FrameworkServlet:FrameworkServlet.java(547) | Completed initialization in 6 ms
2020-03-27 00:00:23.795 | http-nio-8080-exec-2 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/login]
2020-03-27 00:00:23.798 | http-nio-8080-exec-2 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/login]
2020-03-27 00:00:24.020 | http-nio-8080-exec-3 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/vue/index.css]
2020-03-27 00:00:24.043 | http-nio-8080-exec-4 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/vue/login.css]
2020-03-27 00:00:24.049 | http-nio-8080-exec-5 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/vue/vue.js]
2020-03-27 00:00:24.052 | http-nio-8080-exec-8 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/vue/login.js]
2020-03-27 00:00:24.054 | http-nio-8080-exec-3 | INFO  | c.z.h.HikariDataSource:HikariDataSource.java(110) | HikariPool-1 - Starting...
2020-03-27 00:00:24.054 | http-nio-8080-exec-7 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/vue/axios.min.js]
2020-03-27 00:00:24.063 | http-nio-8080-exec-6 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/vue/index.js]
2020-03-27 00:00:24.294 | http-nio-8080-exec-3 | INFO  | c.z.h.HikariDataSource:HikariDataSource.java(123) | HikariPool-1 - Start completed.
